Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PortalUI_Navigation,Chrome 70.0.3538.77,,2018-11-11 16:13:18,2018-11-11 16:13:34,16.799s,PASSED
,,,,,,
Test Cases/Forcepoint_Profile_icon,Chrome 70.0.3538.77,,2018-11-11 16:13:18,2018-11-11 16:13:34,15.507s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-11 16:13:19,2018-11-11 16:13:23,4.484s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-11 16:13:23,2018-11-11 16:13:26,2.667s,PASSED
sendKeys,Chrome 70.0.3538.77,,2018-11-11 16:13:26,2018-11-11 16:13:27,0.540s,PASSED
sendKeys,Chrome 70.0.3538.77,,2018-11-11 16:13:27,2018-11-11 16:13:27,0.334s,PASSED
click,Chrome 70.0.3538.77,,2018-11-11 16:13:27,2018-11-11 16:13:28,0.682s,PASSED
click,Chrome 70.0.3538.77,,2018-11-11 16:13:28,2018-11-11 16:13:32,4.370s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-11-11 16:13:32,2018-11-11 16:13:32,0.105s,PASSED
click,Chrome 70.0.3538.77,,2018-11-11 16:13:32,2018-11-11 16:13:32,0.234s,PASSED
Statement - text = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Forcepoint Policy Distribution/Log_Out_button)),Chrome 70.0.3538.77,,2018-11-11 16:13:32,2018-11-11 16:13:32,0.152s,PASSED
verifyTextPresent,Chrome 70.0.3538.77,,2018-11-11 16:13:32,2018-11-11 16:13:33,0.185s,PASSED
click,Chrome 70.0.3538.77,,2018-11-11 16:13:33,2018-11-11 16:13:34,0.986s,PASSED
"Statement - com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getUrl().contains(""/login"")",Chrome 70.0.3538.77,,2018-11-11 16:13:34,2018-11-11 16:13:34,0.116s,PASSED
