Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PortalUI_Navigation,Chrome 70.0.3538.77,,2018-11-13 14:22:10,2018-11-13 14:22:25,14.827s,PASSED
,,,,,,
Test Cases/Forcepoint_Profile_icon,Chrome 70.0.3538.77,,2018-11-13 14:22:19,2018-11-13 14:22:21,2.508s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 14:22:19,2018-11-13 14:22:21,2.140s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-11-13 14:22:21,2018-11-13 14:22:21,0.087s,PASSED
,,,,,,
Test Cases/Forcepoint_Help_icon,Chrome 70.0.3538.77,,2018-11-13 14:22:21,2018-11-13 14:22:23,1.794s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-11-13 14:22:22,2018-11-13 14:22:22,0.053s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 14:22:22,2018-11-13 14:22:22,0.182s,PASSED
verifyTextPresent,Chrome 70.0.3538.77,,2018-11-13 14:22:22,2018-11-13 14:22:22,0.259s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 14:22:22,2018-11-13 14:22:22,0.214s,PASSED
switchToWindowIndex,Chrome 70.0.3538.77,,2018-11-13 14:22:22,2018-11-13 14:22:22,0.076s,PASSED
switchToWindowIndex,Chrome 70.0.3538.77,,2018-11-13 14:22:22,2018-11-13 14:22:22,0.051s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 14:22:22,2018-11-13 14:22:23,0.091s,PASSED
verifyTextPresent,Chrome 70.0.3538.77,,2018-11-13 14:22:23,2018-11-13 14:22:23,0.183s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 14:22:23,2018-11-13 14:22:23,0.238s,PASSED
switchToWindowIndex,Chrome 70.0.3538.77,,2018-11-13 14:22:23,2018-11-13 14:22:23,0.023s,PASSED
switchToWindowIndex,Chrome 70.0.3538.77,,2018-11-13 14:22:23,2018-11-13 14:22:23,0.051s,PASSED
