Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PortalUI_Navigation,Chrome 70.0.3538.77,,2018-11-12 13:44:00,2018-11-12 13:44:20,19.788s,PASSED
,,,,,,
Test Cases/Forcepoint_Profile_icon,Chrome 70.0.3538.77,,2018-11-12 13:44:11,2018-11-12 13:44:15,4.302s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 13:44:11,2018-11-12 13:44:15,3.917s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-11-12 13:44:15,2018-11-12 13:44:15,0.081s,PASSED
,,,,,,
Test Cases/Forcepoint_Help_icon,Chrome 70.0.3538.77,,2018-11-12 13:44:15,2018-11-12 13:44:17,1.899s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-11-12 13:44:16,2018-11-12 13:44:16,0.061s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 13:44:16,2018-11-12 13:44:16,0.155s,PASSED
verifyTextPresent,Chrome 70.0.3538.77,,2018-11-12 13:44:16,2018-11-12 13:44:16,0.292s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 13:44:16,2018-11-12 13:44:17,0.244s,PASSED
switchToWindowIndex,Chrome 70.0.3538.77,,2018-11-12 13:44:17,2018-11-12 13:44:17,0.101s,PASSED
switchToWindowIndex,Chrome 70.0.3538.77,,2018-11-12 13:44:17,2018-11-12 13:44:17,0.042s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 13:44:17,2018-11-12 13:44:17,0.092s,PASSED
verifyTextPresent,Chrome 70.0.3538.77,,2018-11-12 13:44:17,2018-11-12 13:44:17,0.178s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 13:44:17,2018-11-12 13:44:17,0.222s,PASSED
switchToWindowIndex,Chrome 70.0.3538.77,,2018-11-12 13:44:17,2018-11-12 13:44:17,0.021s,PASSED
switchToWindowIndex,Chrome 70.0.3538.77,,2018-11-12 13:44:17,2018-11-12 13:44:17,0.052s,PASSED
