Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PortalUI_Navigation,Chrome 70.0.3538.77,,2018-11-13 14:59:08,2018-11-13 14:59:23,15.615s,PASSED
,,,,,,
Test Cases/Forcepoint_Profile_icon,Chrome 70.0.3538.77,,2018-11-13 14:59:16,2018-11-13 14:59:19,2.946s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 14:59:17,2018-11-13 14:59:19,2.486s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-11-13 14:59:19,2018-11-13 14:59:19,0.091s,PASSED
,,,,,,
Test Cases/Forcepoint_Help_icon,Chrome 70.0.3538.77,,2018-11-13 14:59:19,2018-11-13 14:59:21,1.777s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-11-13 14:59:20,2018-11-13 14:59:20,0.057s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 14:59:20,2018-11-13 14:59:20,0.152s,PASSED
verifyTextPresent,Chrome 70.0.3538.77,,2018-11-13 14:59:20,2018-11-13 14:59:20,0.289s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 14:59:20,2018-11-13 14:59:20,0.240s,PASSED
switchToWindowIndex,Chrome 70.0.3538.77,,2018-11-13 14:59:20,2018-11-13 14:59:21,0.135s,PASSED
switchToWindowIndex,Chrome 70.0.3538.77,,2018-11-13 14:59:21,2018-11-13 14:59:21,0.033s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 14:59:21,2018-11-13 14:59:21,0.087s,PASSED
verifyTextPresent,Chrome 70.0.3538.77,,2018-11-13 14:59:21,2018-11-13 14:59:21,0.138s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 14:59:21,2018-11-13 14:59:21,0.203s,PASSED
switchToWindowIndex,Chrome 70.0.3538.77,,2018-11-13 14:59:21,2018-11-13 14:59:21,0.040s,PASSED
switchToWindowIndex,Chrome 70.0.3538.77,,2018-11-13 14:59:21,2018-11-13 14:59:21,0.092s,PASSED
